Genus,Species,Capellini_BMR..mlO2.hour.,Capellini_Body.mass.for.BMR..gr.,Capellini_Reference.for.BMR,Capellini_FMR..kJ.day.,Capellini_Body.mass.for.FMR..gr.,Smith_Log.mass,Smith_Combined.mass,Ernest_mass.g.,Ernest_gestation.mo.,Ernest_newborn.g.,Ernest_weaning.mo.,Ernest_wean.mass.g.,Ernest_AFR.mo.,Ernest_max..life.mo.,Ernest_litter.size,Ernest_litters.year,Common.name,AnAge_Female.maturity..days.,AnAge_Male.maturity..days.,AnAge_Gestation.Incubation..days.,AnAge_Weaning..days.,AnAge_Litter.Clutch.size,AnAge_Litters.Clutches.per.year,AnAge_Inter.litter.Interbirth.interval,AnAge_Birth.weight..g.,AnAge_Weaning.weight..g.,AnAge_Adult.weight..g.,AnAge_Growth.rate..1.days.,AnAge_Maximum.longevity..yrs.,AnAge_Source,AnAge_Specimen.origin,AnAge_Sample.size,AnAge_Data.quality,AnAge_IMR..per.yr.,AnAge_MRDT..yrs.,AnAge_Metabolic.rate..W.,AnAge_Body.mass..g.,AnAge_Temperature..K.,AnAge_References,MamDiet_Animal,MamDiet_Vertebrate,MamDiet_Mammal,MamDiet_Bird,MamDiet_Herptile,MamDiet_Fish,MamDiet_Invertebrate,MamDiet_Plant,MamDiet_Seed,MamDiet_Fruit,MamDiet_Nectar,MamDiet_Root,MamDiet_Leaf,MamDiet_Woody,MamDiet_Herbaceous,MamDiet_Other,MamDiet_TaxonomicNote,MamDiet_FillCode,MamDiet_TrophicLevel,MamDiet_MammalEater,MamDiet_Insectivore,MamDiet_Frugivore,MamDiet_Granivore,MamDiet_Folivore,Sieg_Tb,Sieg_Mass.Mean,Sieg_Mass.SD,Sieg_BMR.Mean,Sieg_BMR.SD,Pacifici_AdultBodyMass_g,Pacifici_Max_longevity_d,Pacifici_Rspan_d,Pacifici_AFR_d,Pacifici_Data_AFR,Pacifici_Calculated_GL_d,Pacifici_GenerationLength_d,Pineda_Seeds,Pineda_Invertebrate,Pineda_Fungi,Pineda_Vertebrate,Pineda_Flowers.Gum,Pineda_Roots.Tubers,Pineda_Green.Plants,Pineda_Fruit,Pineda_Main_food,Pineda_Body_mass_g
Martes,americana,594.9,900,White et al06BiolLett,NA,NA,3.1,1250,606.67,0.93,32.67,1.5,414,17.67,204,2.73,1,American marten,365,365,28,46,3,1,365,30,392,884,NA,17.8,671,captivity,tiny,acceptable,NA,NA,3.579,966.5,311.15,"36,420,434,441,455,500,000,000,000",1,1,1,2,0,0,2,2,0,2,0,0,0,0,0,0,,0,Omnivore,1,0,0,0,0,38,900,185.5,594.9,72.9,873.69,6789,6424,365,PanTHERIA,2227.96,2227.96,0,10,0,70,0,0,0,20,Carnivore,1250
Mustela,erminea,165,75,White et al06BiolLett,NA,NA,2.23,168.8,110.33,1.43,2.3,1.49,26.57,3.12,84,6.77,1,Ermine,95,365,43,45,6.77,1,365,2.3,26.6,110.3,NA,12.5,671,captivity,small,acceptable,NA,NA,1.276,125.5,312.75,"36,420,434,455,538,600,000,000,000",1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,,0,Carnivore,1,0,0,0,0,39.6,207.5,22,329.8,38.1,284.5,3248.804167,3210.389167,147.765,calculated,1078.777858,1078.777858,0,10,0,90,0,0,0,0,Carnivore,119.38
Mustela,erminea,165,75,White et al06BiolLett,NA,NA,1.85,70,110.33,1.43,2.3,1.49,26.57,3.12,84,6.77,1,Ermine,95,365,43,45,6.77,1,365,2.3,26.6,110.3,NA,12.5,671,captivity,small,acceptable,NA,NA,1.276,125.5,312.75,"36,420,434,455,538,600,000,000,000",1,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,,0,Carnivore,1,0,0,0,0,39.6,207.5,22,329.8,38.1,284.5,3248.804167,3210.389167,147.765,calculated,1078.777858,1078.777858,0,10,0,90,0,0,0,0,Carnivore,119.38
Mustela,frenata,240.58,225,White et al06BiolLett,NA,NA,2.17,147,150.6,0.82,3.1,1.22,34.6,5.33,NA,6.22,1,Long-tailed weasel,162,365,25,37,6.2,1,365,3.1,34.6,150.6,NA,8.8,671,captivity,tiny,acceptable,NA,NA,1.344,225,312.15,"36,420,434,455,538,600,000,000,000",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Carnivore,1,0,0,0,0,39,225,19.5,229,33.3,190.03,2798.941667,2623.001667,225.44,calculated,986.1104833,986.1104833,0,0,0,100,0,0,0,0,Carnivore,147
Mustela,frenata,240.58,225,White et al06BiolLett,NA,NA,2.17,147,150.6,0.82,3.1,1.22,34.6,5.33,NA,6.22,1,Long-tailed weasel,162,365,25,37,6.2,1,365,3.1,34.6,150.6,NA,8.8,671,captivity,tiny,acceptable,NA,NA,1.344,225,312.15,"36,420,434,455,538,600,000,000,000",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Carnivore,1,0,0,0,0,39,225,19.5,229,33.3,190.03,2798.941667,2623.001667,225.44,calculated,986.1104833,986.1104833,0,0,0,100,0,0,0,0,Carnivore,147
Spilogale,putorius,299.52,624,White et al06BiolLett,NA,NA,2.53,341,511.5,2.19,13.8,1.64,160,7.5,118,4.73,1.5,Spotted skunk,152,152,31,50,5,1.5,243,9.5,160,600,0.0311,10.5,671,captivity,small,acceptable,NA,NA,1.674,624,309.55,"36,420,434,441,455,600,000,000,000",1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Familiy: Mustilidae in the book,0,Carnivore,0,1,0,0,0,36.4,624,104.6,299.5,30.6,566.49,3710.833333,3545.868333,228.955,calculated,1257.256817,1257.256817,0,30,0,40,0,0,30,0,Generalist,341
Lepus,alleni,1650,3000,White&Seymour03PNAS,NA,NA,3.57,3685,3759.67,1.5,118.1,1.75,3000,24,NA,2.21,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,37.9,3312.3,395,1644,153.9,3930,NA,NA,NA,no information,NA,1047.27668,0,0,0,0,0,0,100,0,Herbivore,3685.02
Lepus,americanus,1518,1581,White&Seymour03PNAS,NA,NA,3.23,1710,1489.25,1.22,61.03,0.66,362,10.12,NA,3.28,2.6,Snowshoe rabbit,308,411,36,20,3,2.6,39,61.03,362,1600,0.0376,NA,,unknown,tiny,low,NA,NA,6.708,1603.4,312.95,"36,420,434,455,610,600,000,000",3,3,3,0,0,0,0,1,0,0,0,0,1,2,1,0,,1,Herbivore,0,0,0,0,1,39.8,1567.3,164.6,1443.3,244.8,1568.42,2920,2555,365,PanTHERIA,1105.95,1105.95,0,0,0,0,0,0,100,0,Herbivore,1710.02
Lepus,californicus,1311,2300,White&Seymour03PNAS,1300,1800,3.38,2422.5,2317,1.43,84.34,1.34,1300,8,81,2.93,3.73,Black-tailed jack rabbit,243,NA,44,41,1,3.7,NA,84.34,1300,4175,0.0225,11.8,671,captivity,tiny,acceptable,NA,NA,7.314,2300,312.35,"364,204,344,554,896,000,000,000,000,000",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,39.2,2148.5,384.1,1224.7,80,2422.48,3394.5,3174.315,305.955,calculated,1226.50635,1226.50635,0,0,0,0,0,0,100,0,Herbivore,2422.48
Lepus,townsendii,1264,2430,White&Seymour03PNAS,NA,NA,3.19,1555,3035.5,1.29,94.32,0.88,737,10.95,96,4.32,2.76,White-tailed jackrabbit,333,NA,39,27,4.3,2.8,NA,94.32,737,3035.5,NA,NA,,unknown,small,low,NA,NA,7.698,2523.2,311.35,"36,420,455,538,542,600",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,38.2,2620,98,1517,111.2,3371.64,2920,2678.725,321.005,calculated,1097.83525,1097.83525,0,0,0,0,0,0,100,0,Herbivore,1555
