Column name,Column description,Data source,Units
Genus,Genus name,NEON,
Species,Species name,NEON,
Capellini_BMR..mlO2.hour.,Basal metabolic rate,"Isabella Capellini, Chris Venditti, and Robert A. Barton. 2010. Phylogeny and metabolic rates in mammals. Ecology 20:2783–2793.",mL h-1
Capellini_Body.mass.for.BMR..gr.,Body mass from basal metabolic rate measurement,"Isabella Capellini, Chris Venditti, and Robert A. Barton. 2010. Phylogeny and metabolic rates in mammals. Ecology 20:2783–2793.",g
Capellini_Reference.for.BMR,Data source for basal metabolic rate,"Isabella Capellini, Chris Venditti, and Robert A. Barton. 2010. Phylogeny and metabolic rates in mammals. Ecology 20:2783–2793.",
Capellini_FMR..kJ.day.,Field metabolic rate,"Isabella Capellini, Chris Venditti, and Robert A. Barton. 2010. Phylogeny and metabolic rates in mammals. Ecology 20:2783–2793.",kJ d-1
Capellini_Body.mass.for.FMR..gr.,Body mass from field metabolic rate measurement,"Isabella Capellini, Chris Venditti, and Robert A. Barton. 2010. Phylogeny and metabolic rates in mammals. Ecology 20:2783–2793.",g
Smith_Log.mass,Log10 transformation of body mass,"Felisa A. Smith, S. Kathleen Lyons, S. K. Morgan Ernest, Kate E. Jones, Dawn M. Kauffman, Tmar Dayan, Pablo A. Marquet, James H. Brown, and John P. Haskell. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",
Smith_Combined.mass,Body mass,"Felisa A. Smith, S. Kathleen Lyons, S. K. Morgan Ernest, Kate E. Jones, Dawn M. Kauffman, Tmar Dayan, Pablo A. Marquet, James H. Brown, and John P. Haskell. 2003. Body mass of late Quaternary mammals. Ecology 84:3403.",g
Ernest_mass.g.,Adult body mass,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,g
Ernest_gestation.mo.,Gestation time,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,month
Ernest_newborn.g.,Newborn mass,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,g
Ernest_weaning.mo.,Weaning time,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,month
Ernest_wean.mass.g.,Mass at weaning,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,g
Ernest_AFR.mo.,Age at first reproduction,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,month
Ernest_max..life.mo.,Maximum longevity,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,month
Ernest_litter.size,Litter size,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,
Ernest_litters.year,Litters per year,S. K. Morgan Ernest. 2003. Life history characteristics of placental non-volant mammals. Ecology 84:3402.,
Common.name,Common name,NEON,
AnAge_Female.maturity..days.,Age at female maturity,genomics.senescence.info,d
AnAge_Male.maturity..days.,Age at male maturity,genomics.senescence.info,d
AnAge_Gestation.Incubation..days.,Gestation time,genomics.senescence.info,d
AnAge_Weaning..days.,Weaning time,genomics.senescence.info,d
AnAge_Litter.Clutch.size,Litter size,genomics.senescence.info,
AnAge_Litters.Clutches.per.year,Litters per year,genomics.senescence.info,
AnAge_Inter.litter.Interbirth.interval,Time between births,genomics.senescence.info,d
AnAge_Birth.weight..g.,Newborn mass,genomics.senescence.info,g
AnAge_Weaning.weight..g.,Mass at weaning,genomics.senescence.info,g
AnAge_Adult.weight..g.,Adult body mass,genomics.senescence.info,g
AnAge_Growth.rate..1.days.,Growth rate,genomics.senescence.info,d-1
AnAge_Maximum.longevity..yrs.,Maximum longevity,genomics.senescence.info,y
AnAge_Source,Data source for life history data,genomics.senescence.info,
AnAge_Specimen.origin,Origin of specimen,genomics.senescence.info,
AnAge_Sample.size,Number of individuals from which averages are calculated,genomics.senescence.info,
AnAge_Data.quality,Internal data quality flag from AnAge dataset,genomics.senescence.info,
AnAge_IMR..per.yr.,Initial mortality rate parameter,genomics.senescence.info,y-1
AnAge_MRDT..yrs.,Mortality rate doubling time parameter,genomics.senescence.info,y
AnAge_Metabolic.rate..W.,Metabolic rate,genomics.senescence.info,W
AnAge_Body.mass..g.,Adult body mass,genomics.senescence.info,g
AnAge_Temperature..K.,Temperature at which metabolic rate was measured,genomics.senescence.info,K
AnAge_References,Data source for life history data,genomics.senescence.info,
MamDiet_Animal,Ordinal amount of animal in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Vertebrate,Ordinal amount of vertebrate in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Mammal,Ordinal amount of mammal in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Bird,Ordinal amount of bird in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Herptile,Ordinal amount of herptile in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Fish,Ordinal amount of fish in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Invertebrate,Ordinal amount of invertebrate in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Plant,Ordinal amount of plant in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Seed,Ordinal amount of seed in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Fruit,Ordinal amount of fruit in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Nectar,Ordinal amount of nectar in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Root,Ordinal amount of root in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Leaf,Ordinal amount of leaf in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Woody,Ordinal amount of woody in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Herbaceous,Ordinal amount of herbaceous in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Other,Ordinal amount of other in diet (1 least to 3 most),"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_TaxonomicNote,Internal note from MamDiet dataset,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_FillCode,Internal flag in MamDiet dataset,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_TrophicLevel,Categorical diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_MammalEater,Binary diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Insectivore,Binary diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Frugivore,Binary diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Granivore,Binary diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
MamDiet_Folivore,Binary diet classification,"Kissling WD, Dalby L, Fløjgaard C, Lenoir J, Sandel B, Sandom C, Trøjelsgaard K, Svenning J-C (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4(14): 2913-2930. http://dx.doi.org/10.1002/ece3.1136 ",
Sieg_Tb,Body temperature,"Sieg AE, O'Connor MP, McNair JN, Grant BW, Agosta SJ, Dunham AE (2009) Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter? American Naturalist 174: 720-733. http://dx.doi.org/10.1086/606023  ",C
Sieg_Mass.Mean,Body mass,"Sieg AE, O'Connor MP, McNair JN, Grant BW, Agosta SJ, Dunham AE (2009) Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter? American Naturalist 174: 720-733. http://dx.doi.org/10.1086/606023  ",g
Sieg_Mass.SD,Standard deviation of body mass,"Sieg AE, O'Connor MP, McNair JN, Grant BW, Agosta SJ, Dunham AE (2009) Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter? American Naturalist 174: 720-733. http://dx.doi.org/10.1086/606023  ",g
Sieg_BMR.Mean,Basal metabolic rate,"Sieg AE, O'Connor MP, McNair JN, Grant BW, Agosta SJ, Dunham AE (2009) Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter? American Naturalist 174: 720-733. http://dx.doi.org/10.1086/606023  ",mL h-1
Sieg_BMR.SD,Standard deviation of basal metabolic rate,"Sieg AE, O'Connor MP, McNair JN, Grant BW, Agosta SJ, Dunham AE (2009) Mammalian metabolic allometry: do intraspecific variation, phylogeny, and regression models matter? American Naturalist 174: 720-733. http://dx.doi.org/10.1086/606023  ",mL h-1
Pacifici_AdultBodyMass_g,Adult body mass,"Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",g
Pacifici_Max_longevity_d,Maximum longevity,"Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pacifici_Rspan_d,Reproductive lifespan,"Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pacifici_AFR_d,"Age at first reproduction, modeled","Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pacifici_Data_AFR,"Age at first reproduction, from data","Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pacifici_Calculated_GL_d,"Generation length, modeled","Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pacifici_GenerationLength_d,"Generation length, from data","Pacifici M, Santini L, Di Marco M, Baisero D, Francucci L, Grottolo Marasini G, Visconti P, Rondinini C (2013) Generation length for mammals. Nature Conservation 5: 89-94. http://dx.doi.org/10.3897/natureconservation.5.5734  ",d
Pineda_Seeds,Percent diet consisting of seeds,"Pineda-Munoz S, Evans AR, Alroy J (2016) The relationship between diet and body mass in terrestrial mammals. Paleobiology, online in advance of print. http://dx.doi.org/10.1017/pab.2016.6  ",percent
Pineda_Invertebrate,Percent diet consisting of invertebrate,"Pineda-Munoz S, Evans AR, Alroy J (2016) The relationship between diet and body mass in terrestrial mammals. Paleobiology, online in advance of print. http://dx.doi.org/10.1017/pab.2016.6  ",percent
