siteID,siteName,decimalLatitude,decimalLongitude,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,sd_elevation,cv_bio1,cv_bio2,cv_bio3,cv_bio4,cv_bio5,cv_bio6,cv_bio7,cv_bio8,cv_bio9,cv_bio10,cv_bio11,cv_bio12,cv_bio13,cv_bio14,cv_bio15,cv_bio16,cv_bio17,cv_bio18,cv_bio19,ruggedness,LAI,fPAR,EVI,NDVI,NPP,GPP,cv_LAI,cv_fPAR,cv_EVI,cv_NDVI,pc1_productivityheterogeneity,pc2_topographyheterogeneity
BART,Bartlett Experimental Forest,44.05599987,-71.29016915,378.1747407,5.599716077,12.70826541,31.34436944,996.5045721,25.6466668,-14.87533323,40.52200003,4.320395107,-6.038493843,16.65471615,-6.038493843,1376.661188,132.4248902,86.1292598,11.98894222,374.332522,289.6015561,351.7123699,289.6015561,115.3897054,0.243580683,4.25051527,5.751834988,5.795395237,0.409948027,1.072356474,7.341900429,2.289841987,3.484327982,0.242346962,0.552425225,16.64834772,27.78826543,40.25919247,22.31042679,20.90714849,22.21444557,23.67920415,31.18964458,1.383432894,2.331781424,0.572654541,0.464714866,0.746788574,0.769884247,1.370000049,0.947077376,0.474251175,0.418178811,0.229860727,-1.838222098,-0.58559548
BLAN,Blandy Experimental Farm,39.07435355,-78.01429778,157.1668493,12.16930372,12.55469191,34.96999526,884.8986238,30.651507,-5.2490411,35.9005481,22.17406394,2.423470354,22.17406394,2.423470354,979.0753428,97.85602695,61.67753497,15.74862772,273.4932867,212.0095891,273.4932867,212.0095891,25.74852773,0.214501719,3.721062816,7.042863408,6.865386494,0.43232366,0.824916836,6.021740244,2.685432313,2.560027238,0.286087142,0.485329858,17.75005127,24.76007597,50.30525326,21.09548354,21.32602,30.50745885,38.15244518,37.46374789,0.421153231,1.316199353,0.508841528,0.361094537,0.569577007,0.718176895,1.271290411,0.615518899,0.329072469,0.269233406,0.210842405,-1.173010824,-0.329644988
CPER,Central Plains Experimental Range,40.8243916,-104.7324953,1644.430537,8.611450613,16.11402261,39.91083239,887.0456635,30.61635809,-9.758580273,40.37493836,12.46446498,2.749753077,19.25074077,-0.019156373,342.8336422,57.01629655,6.877407395,60.82660509,149.1240126,38.83635791,108.9670987,45.90617303,14.72925463,0.211431594,2.875219364,5.001507895,6.634612347,0.503737877,0.684145389,5.082505199,1.502264758,0.735987146,0.269729044,0.461315481,18.63022358,33.35876668,87.78214617,18.64747543,33.83241322,42.06060474,34.07547276,55.33534301,0.262566867,0.312606794,0.174297016,0.159743185,0.273243331,0.211268519,0.327832058,0.677111587,0.497347565,0.315878892,0.307550074,-1.184624418,0.602071927
GRSM,"Great Smoky Mountains National Park, Twin Creeks",35.67629164,-83.49829151,729.9509429,12.23806351,13.50131744,41.43666253,748.6485272,28.08590471,-4.455999992,32.5419047,16.77457139,8.013968254,20.66714287,4.216253982,1531.060283,159.9624743,77.8635239,17.07525082,423.3731436,318.5360954,410.8194256,379.8138083,358.3242689,0.201380803,4.459763839,7.093319607,8.678411999,0.470100765,0.639523312,6.847308414,1.895479481,1.699546663,0.266729711,0.41992979,15.5971892,20.21801527,46.03876761,22.35954432,19.17390877,21.7258876,22.04686781,26.43772099,1.665082054,2.593537113,0.616298762,0.340411058,0.672553863,0.777147619,1.701386032,0.829115265,0.390997848,0.510503549,0.226125472,-1.208190066,-1.138961908
HARV,Harvard Forest,42.47405248,-72.22149409,253.1350475,7.874969143,11.9755247,31.3625124,955.8692527,26.98955551,-11.17903712,38.16859264,10.38007415,-3.162098786,18.65234559,-3.162098786,1209.067479,113.0202225,83.46570406,8.321897867,315.1177772,272.0099999,309.6917774,272.0099999,75.74421352,0.237729216,4.51592364,6.087415188,5.944299185,0.375762979,0.999461445,7.135595756,2.606256383,3.378211156,0.265974199,0.561585831,13.58252293,26.33993354,38.5172587,22.16262011,19.19720331,21.68773457,28.46583853,27.04572378,0.634449722,3.426084354,0.732970647,0.429739999,0.757545958,0.83361684,1.624503704,0.622140028,0.253548928,0.307262655,0.130498843,-0.479331849,-0.023421952
JERC,Jones Ecological Research Center,31.19368894,-84.46619618,42.05151095,19.2525973,13.43182491,43.75975752,669.3510865,33.62416027,2.929781073,30.69437919,12.2416059,15.27793192,26.74080291,12.2416059,1308.637817,138.9999293,70.89182504,22.30802647,385.8084706,274.5427745,353.6128481,385.8084706,4.92068484,0.174743445,5.533180687,5.504095621,8.277412438,0.386205403,0.598351818,5.829604904,2.335764771,1.503248851,0.205559129,0.406087782,18.16644638,27.18811613,62.42307756,23.17786218,23.40375957,39.56596375,32.21466525,26.84597091,0.21711073,0.849671627,0.432921535,0.325165449,0.551518696,0.703236691,1.204668175,0.440325746,0.224787049,0.259524356,0.182268804,-1.186781114,-0.354372509
JORN,Jornada LTER,32.60046113,-106.8336777,1324.068298,15.65629436,17.82278363,46.81905792,795.2656705,34.51989373,-3.547021303,38.06691503,24.52425538,7.904184355,24.52425538,7.904184355,269.7627666,63.66361724,5.514574442,78.96035729,144.9512776,28.40648948,144.9512776,28.40648948,4.178523853,0.230184908,3.420261769,4.795178213,3.987500891,0.392961584,0.466979986,4.418700251,1.703726913,1.963852245,0.313063583,0.347188661,26.27063094,43.91269834,184.1214909,26.16660506,41.20130479,74.66397097,43.91692819,63.13383877,0.132751695,0.213764834,0.142371767,0.116827457,0.178362675,0.128075957,0.233136383,0.31723253,0.201227729,0.19094728,0.162126225,-2.250102258,0.977913982
KONZ,Konza Prairie Biological Station,39.09587286,-96.56902215,396.3468687,12.39414143,12.82491588,32.32397421,999.1120065,31.86737388,-7.809090951,39.67646483,17.60754213,1.850101021,23.62922557,1.850101021,870.7087905,132.8982851,17.95101008,53.47420485,334.5524257,106.8447471,294.0422225,106.8447471,25.56492326,0.272975741,4.717746119,7.872425836,7.423278356,0.588908204,0.843942439,8.119992649,1.010401942,2.305721151,0.36923937,0.605636827,19.38264596,33.24499697,89.2404512,16.22315161,23.50470989,40.13990391,38.74616626,39.64949321,1.198412849,0.810861487,0.366135723,0.275236929,0.463532667,3.30412229,3.514238855,0.710768794,0.468883335,0.404777745,0.316896811,2.277299564,-2.161938792
MOAB,Moab,38.2476086,-109.3891857,1825.053222,10.19654879,15.6221381,37.85875554,929.9661142,32.57252581,-8.661313206,41.23383902,21.11202008,1.120202003,21.11202008,1.120202003,317.472021,40.80333371,16.16717166,29.89414296,102.0496979,62.2562626,102.0496979,62.2562626,87.64845813,0.233496893,3.505267947,5.226631538,6.344633531,0.420400578,0.801398274,5.179293927,3.008677561,2.715916587,0.296948342,0.54149221,19.98334517,25.4127558,77.43820559,24.67822426,21.59685478,45.97086141,34.36154731,46.22934385,0.288120965,0.247946176,0.156863513,0.140331696,0.227358568,0.124441279,0.196053535,0.313341733,0.244781923,0.109042189,0.091776949,0.25522203,0.121512744
NIWO,Niwot Ridge Mountain Research Station,40.04744447,-105.5722635,3342.887865,0.128820182,12.39336143,37.8117799,756.8656491,18.32988778,-14.44820233,32.7780901,-2.433071194,8.623782691,9.372846361,-7.491985074,987.1762894,126.1790988,55.22842669,26.37811768,282.2182029,196.232472,196.7366294,269.6024707,162.1277049,0.240516275,4.569965086,5.5168724,5.981930569,0.488364801,0.382704271,4.448404568,1.927737122,2.324727889,0.29721157,0.442312806,15.20927269,26.11089344,45.22639026,17.54632354,23.7345691,18.003505,25.44020184,21.01772601,1.571862068,0.684172029,0.29615319,0.324289287,0.613477872,0.333359101,0.571700075,0.868319546,0.687498038,0.224084717,0.165231159,2.649122977,-2.087264166
